,일자,제목,부정,중립,긍정
51,20190108,"홈앤오피스(Home & Office) ‘삼정 아트스테이 정동’, 3無 혜택 눈길",7.44888e-05,0.99985325,7.224648e-05
52,20190108,창업열기 타고 공유사무실 전성시대,3.9565206e-05,0.9998983,6.2090716e-05
53,20190108,[다시 뛰는 한국 건설] 교량 주택 등 베트남 인프라시장 신흥강자로 떠오른 GS건설,0.0003608736,0.009024683,0.9906144
54,20190109,[다시 뛰는 한국 건설] 교량 주택 등 베트남 인프라시장 신흥강자로 떠오른 GS건설,0.0003608736,0.009024683,0.9906144
55,20190109,주택 매년 13만 가구 부족...베트남 건설 시장은 블루 오션,0.011240449,0.94531745,0.0434421
56,20190109,강북의 잠실을 꿈꾼다...'청량리역 해링턴 플레이스' 주목,4.5319663e-05,0.99991655,3.8179547e-05
57,20190109,불황에 빛난 ‘고객중심경영’ 롯데호텔 86점 ‘전체 1위’,0.008623556,0.38140973,0.60996675
58,20190109,"금소원 ""푸른저축은행 대출 행태, 사채업와 다를 바 없어""",0.00024547317,0.9996908,6.370731e-05
59,20190109,"[건설, 신한류 모색하다]베트남에 '분당 일산' 신도시 수출 역대급 도시 만든다",3.4846504e-05,0.9997665,0.00019861902
60,20190109,"대원, 베트남 비코랜드그룹과 합작 건설사 설립",4.0985073e-05,0.0001241137,0.9998349
61,20190109,"대원, 베트남 비코랜드 그룹과 합작 건설사 설립",4.1721716e-05,0.00012882166,0.9998294
62,20190109,"대원, 베트남 사업 '날개' 달았다",0.0004071755,0.0010141719,0.99857867
63,20190109,"대원, 베트남 비코랜드 그룹과 합작 건설사 설립",4.1721716e-05,0.00012882166,0.9998294
64,20190109,"대원, 베트남 비코랜드 그룹과 합작 건설사 설립",4.1721716e-05,0.00012882166,0.9998294
65,20190109,"대원, 베트남 비코랜드그룹과 합작 건설사 설립",4.0985073e-05,0.0001241137,0.9998349
66,20190109,`개발수요 무궁무진` 인도네시아 시장 터 다지는 포스코건설,2.9478233e-05,0.00010815306,0.9998623
67,20190109,"세인트존스 호텔, '한 겨울의 딸기 페스티벌' 진행",4.2124793e-05,0.9999198,3.8201302e-05
68,20190109,[동부산 ‘본다빈치 스퀘어’] ‘바다 옆 상가’ 쇼핑 문화 휴식 다 누려라,4.8209553e-05,0.99991465,3.7240596e-05
69,20190110,`개발수요 무궁무진` 인도네시아 시장 터 다지는 포스코건설,2.9478233e-05,0.00010815306,0.9998623
70,20190110,"대원, 비코랜드와 합작 건설사 설립",3.5969486e-05,0.000119415585,0.99984455
71,20190110,"뉴욕 상징 '1930년생' 크라이슬러 빌딩, 매물로",0.00026054733,0.9993494,0.00038998591
72,20190110,동남아 건설 시장에 한류 바람 일으키는 롯데건설,6.34146e-05,0.00025332381,0.99968326
73,20190110,신개념 전세형 임대아파트 ‘화순 삼일파라뷰 에듀시티’ 주택전시관 11일 오픈,5.916867e-05,0.9998355,0.00010537137
74,20190110,"R&R연구소, '강남 부동산을 말한다' 좌담회 개최",3.8860995e-05,0.99991226,4.8865575e-05
75,20190110,파크원 3개층에 위워크 들어선다,0.00017549732,0.9996848,0.00013970771
76,20190110,[문화현장 NOW] 교보문고가 신규매장 못여는 사연은 ,0.00036275884,0.9995302,0.00010709483
77,20190110,[돈 되는 부동산 정보] 강동구 천호동 다세대주택 & 강남구 역삼동 다세대주택,4.305843e-05,0.99990964,4.729792e-05
78,20190110,[다시 뛰는 한국 건설] 동남아서 한류 바람 일으키는 롯데건설,0.0002464047,0.0028906811,0.9968629
79,20190111,"[분양 포커스] 한강 조망, 중소형 위주, 가격 저렴  ‘로또 아파트’ 조건 갖추다",5.9302733e-05,0.9998976,4.306087e-05
80,20190111,[다시 뛰는 한국 건설] 동남아서 한류 바람 일으키는 롯데건설,0.0002464047,0.0028906811,0.9968629
81,20190111,진입 장벽 낮은 작은 건물주 ‘관심’,0.00019746461,0.99965477,0.00014779728
82,20190111,"G마켓, `설 연휴 항공권` 단독 프로모션 실시",4.043711e-05,0.9999143,4.5338667e-05
83,20190112,[MK이슈] 보유세 인상 고령층에 충격 주휴수당 역풍 알바쪼개기,0.00021194236,0.9995546,0.00023347457
84,20190112,실적회복 기대감에 GBC호재까지 체면살린 현대차,7.768757e-05,9.113598e-05,0.9998312
85,20190112,"[부동산Eye]재건축 조합 건설사, 뒤바뀐 甲乙",4.2972224e-05,0.9999083,4.862435e-05
86,20190113,"서울시 ""현대차 GBC 조기 착공 지원 인허가 절차 단축""",9.088245e-05,0.00021163696,0.99969757
87,20190113,"서울시, 현대차 GBC 조기 착공 지원 “인허가, 8개월→5개월 내 단축”",7.832901e-05,0.00016277394,0.9997589
88,20190113,서울시 ”현대차 GBC 조기착공 지원 인허가 8개월→5개월 단축”,0.00016006923,0.00043262777,0.9994073
89,20190113,"서울시, 현대차 GBC 인허가 기간 3개월 줄여 조기착공 지원한다",0.007766664,0.007188544,0.9850448
90,20190113,"서울시 ""현대차 GBC 인허가 5개월 이내로 조기착공 지원""",0.00018245849,0.00046493072,0.99935263
91,20190113,"서울시, 현대차 GBC 조기 착공 지원 인허가 절차 5개월로 단축",6.9702524e-05,0.00015464314,0.9997757
92,20190113,"서울시 ""GBC 착공 적극 지원""",0.0043628253,0.061722476,0.9339147
93,20190113,인허가 절차 3개월 단축...GBC 6월 착공할 듯,0.045338385,0.24763262,0.70702904
94,20190113,"속도 내는 GBC 서울시 ""인허가 3개월 단축""",0.010624576,0.7514435,0.23793189
95,20190114,현대차 GBC 인허가 5개월 이내로,0.014235825,0.003069629,0.98269457
96,20190114,"서울시, 현대車 GBC 조기 착공 적극 지원키로",0.00019529958,0.0008068607,0.99899787
97,20190114,인허가 절차 3개월 단축...GBC 6월 착공할 듯,0.045338385,0.24763262,0.70702904
98,20190114,1층이 로얄층? 편견을 뒤집다 '래미안 구의 파크스위트',8.87468e-05,0.9998429,6.8260255e-05
99,20190114,"시몬스, 광진구에 '시몬스 갤러리 중곡점' 오픈",0.00020628661,0.999451,0.00034279985
100,20190114,"[사진]교원웰스, 국내 최초 시스템 정수기 '웰스더원' 출시",3.6275782e-05,8.170306e-05,0.999882
101,20190114,"""트럼프, 작년 392억 상당 뉴욕 LA 부동산 매각""",0.0001047785,0.9996691,0.00022617009
102,20190114,"[ET투자뉴스]호텔신라_거래비중 기관 22.75%, 외국인 25.59%",0.0051138187,0.9760854,0.018800694
103,20190114,"한화호텔앤드리조트, 주거와 숙박 결합한 복합 레지던스 사업 진출",4.2409927e-05,0.00011348641,0.9998441
104,20190114,"[건설, 신한류 모색하다]두바이 '六龍'이 나르샤 지상에서 가장 화려한 호텔",3.238038e-05,0.9998946,7.2928924e-05
105,20190114,"[건설, 신한류 모색하다]탈석유 표방 두바이 특수성을 기회로 호텔 등 건물수주 주력",0.00037292068,0.95815986,0.04146719
106,20190114,"""트럼프, 작년 뉴욕 LA 라스베거스 부동산 줄매각 392억 상당""(종합)",0.00050254446,0.9952114,0.0042860326
107,20190114,"한화호텔앤드리조트, 주거 숙박 결합 레지던스사업 진출",3.1059044e-05,9.770548e-05,0.99987125
108,20190114,"한화호텔앤드리조트, 토탈 호스피탤러티 적용한 신개념 ‘복합 레지던스’ 사업 진출",3.438664e-05,9.4269235e-05,0.9998714
109,20190114,"한화호텔앤드리조트, 호텔식 생활 편의 서비스 제공하는 신개념 복합 레지던스 사업 진출 계획",3.3901466e-05,0.00014733372,0.99981874
110,20190114,"한화호텔앤드리조트, 토탈 호스피탤러티 서비스 제공",0.004580758,0.38626224,0.609157
111,20190114,"한화호텔앤드리조트, 신개념 복합 레지던스 사업 본격 진출",3.248014e-05,9.137323e-05,0.99987614
112,20190114,"서울 강동구 천호대로변 일대, 업무 상업 중심지로 탈바꿈",8.501831e-05,0.9998566,5.8428664e-05
113,20190114,스파 수영장 보유한 특1급 호텔 풀빌라 스테이 파격 특가,7.6159864e-05,0.9998776,4.6271954e-05
