일자,리츠명,기관_매도거래량,기타법인_매도거래량,개인_매도거래량,외국인_매도거래량,전체_매도거래량,기관_매수거래량,기타법인_매수거래량,개인_매수거래량,외국인_매수거래량,전체_매수거래량,기관_매도거래대금,기타법인_매도거래대금,개인_매도거래대금,외국인_매도거래대금,전체_매도거래대금,기관_매수거래대금,기타법인_매수거래대금,개인_매수거래대금,외국인_매수거래대금,전체_매수거래대금
190218,신한알파리츠,13261.0,0.0,26987,5384.0,45632,12404.0,0.0,21045,12183.0,45632,75036810.0,0.0,152667320,30388520.0,258092650,70191380.0,0.0,118930150,68971120.0,258092650
190219,신한알파리츠,79295.0,0.0,20846,4446.0,104587,15154.0,300.0,60266,28867.0,104587,447585050.0,0.0,117598870,25075440.0,590259360,85583020.0,1700000.0,340064110,162912230.0,590259360
190220,신한알파리츠,31652.0,0.0,24202,4536.0,60390,24243.0,105.0,33111,2931.0,60390,178530510.0,0.0,136513690,25579450.0,340623650,136789430.0,591150.0,186624300,16618770.0,340623650
190221,신한알파리츠,7307.0,0.0,38961,0.0,46268,13386.0,1870.0,30878,134.0,46268,41174630.0,0.0,219588950,0.0,260763580,75453320.0,10546260.0,174008240,755760.0,260763580
190222,신한알파리츠,22857.0,1334.0,44962,1379.0,70532,17065.0,100.0,52764,603.0,70532,128202690.0,7523760.0,252609590,7760930.0,396096970,95828420.0,560000.0,296295570,3412980.0,396096970
190225,신한알파리츠,7117.0,0.0,56906,2240.0,66263,11193.0,0.0,53628,1442.0,66263,39750270.0,0.0,317652140,12474920.0,369877330,62522920.0,0.0,299279210,8075200.0,369877330
190226,신한알파리츠,12342.0,3795.0,29523,3003.0,48663,10243.0,100.0,30057,8263.0,48663,69306150.0,21326980.0,166297520,16866780.0,273797430,57535970.0,561500.0,169195090,46504870.0,273797430
190227,신한알파리츠,37107.0,500.0,23568,4524.0,65699,13496.0,20100.0,20656,11447.0,65699,208251970.0,2825000.0,133159900,25459520.0,369696390,76124430.0,112563000.0,116223790,64785170.0,369696390
190228,신한알파리츠,7011.0,2000.0,11892,2887.0,23790,1625.0,595.0,20077,1493.0,23790,39413170.0,11247800.0,66848990,16246730.0,133756690,9135960.0,3344900.0,112866200,8409630.0,133756690
190304,신한알파리츠,33735.0,19670.0,31355,4990.0,89750,10364.0,100.0,77198,2088.0,89750,190249020.0,110883670.0,176914080,28128990.0,506175760,58442380.0,565000.0,435372700,11795680.0,506175760
190305,신한알파리츠,30000.0,913.0,15757,4261.0,50931,9818.0,101.0,39745,1267.0,50931,169022430.0,5162580.0,88961140,24019490.0,287165640,55394780.0,570650.0,224038560,7161650.0,287165640
190306,신한알파리츠,46000.0,587.0,18774,1990.0,67351,12179.0,101.0,49601,5470.0,67351,259041720.0,3328290.0,106073510,11242990.0,379686510,68729090.0,570640.0,279467120,30919660.0,379686510
190307,신한알파리츠,21182.0,0.0,14403,3058.0,38643,5666.0,200.0,29781,2996.0,38643,119855110.0,0.0,81516380,17305910.0,218677400,32075690.0,1132000.0,168510300,16959410.0,218677400
190308,신한알파리츠,13148.0,750.0,34272,11469.0,59639,19083.0,2575.0,34344,3637.0,59639,74640230.0,4257500.0,194749790,65008000.0,338655520,108362460.0,14603750.0,195008540,20680770.0,338655520
190311,신한알파리츠,11192.0,34487.0,73002,4936.0,123617,14535.0,3134.0,90587,15361.0,123617,63710430.0,196920770.0,416330030,28131660.0,705092890,82797190.0,17824680.0,516683510,87787510.0,705092890
190312,신한알파리츠,55988.0,2421.0,34615,13059.0,106083,12788.0,10333.0,77202,5760.0,106083,319561350.0,13831430.0,198006040,74598860.0,605997680,73040340.0,59100500.0,440822410,33034430.0,605997680
190313,신한알파리츠,36384.0,0.0,36344,4054.0,76782,16336.0,1301.0,51985,7160.0,76782,207108470.0,0.0,206956860,23100490.0,437165820,93007350.0,7428080.0,295952230,40778160.0,437165820
190314,신한알파리츠,25495.0,0.0,19972,1901.0,47368,10004.0,200.0,21780,15384.0,47368,145209020.0,0.0,113940090,10845130.0,269994240,57062770.0,1142000.0,124113200,87676270.0,269994240
190315,신한알파리츠,606.0,0.0,49044,1917.0,51567,9909.0,200.0,26260,15198.0,51567,3472600.0,0.0,280823740,10978080.0,295274420,56737840.0,1147000.0,150334930,87054650.0,295274420
190318,신한알파리츠,41259.0,5010.0,45405,3849.0,95523,11012.0,100.0,68904,15507.0,95523,239469670.0,29122700.0,263219060,22288680.0,554100110,63963960.0,579000.0,399834550,89722600.0,554100110
190319,신한알파리츠,19147.0,1500.0,47415,15793.0,83855,29113.0,2103.0,49637,3002.0,83855,112947810.0,8845000.0,277947830,92204490.0,491945130,171363990.0,12201370.0,290834420,17545350.0,491945130
190320,신한알파리츠,105547.0,0.0,57228,4705.0,167480,13887.0,100.0,139474,14019.0,167480,617316210.0,0.0,334830850,27520040.0,979667100,81283680.0,588000.0,815741070,82054350.0,979667100
190321,신한알파리츠,66029.0,0.0,51698,3302.0,121029,26012.0,100.0,83537,11380.0,121029,386429920.0,0.0,302462960,19313320.0,708206200,152166190.0,585000.0,488856490,66598520.0,708206200
190322,신한알파리츠,103166.0,0.0,42774,11565.0,157505,26857.0,101.0,107934,22613.0,157505,603951320.0,0.0,250220160,67724180.0,921895660,157342600.0,589850.0,631335580,132627630.0,921895660
190325,신한알파리츠,93786.0,0.0,43916,10785.0,148487,15011.0,10387.0,105761,17328.0,148487,546021890.0,0.0,256803420,62795280.0,865620590,87618290.0,60530190.0,615989850,101482260.0,865620590
190326,신한알파리츠,5679.0,47837.0,90310,1264.0,145090,33272.0,100.0,71423,40295.0,145090,33549680.0,283695610.0,535053450,7454260.0,859753000,197260610.0,593720.0,423145740,238752930.0,859753000
190327,신한알파리츠,0.0,38830.0,94812,7575.0,141217,39256.0,706.0,92845,8410.0,141217,0.0,229814320.0,560774300,44814200.0,835402820,232408380.0,4179520.0,549084880,49730040.0,835402820
190328,신한알파리츠,20547.0,2881.0,56959,3461.0,83848,25980.0,100.0,40835,16933.0,83848,120966040.0,17026710.0,334765720,20295200.0,493053670,152829030.0,591000.0,240006140,99627500.0,493053670
190329,신한알파리츠,20312.0,35509.0,32198,6435.0,94454,29379.0,4077.0,47315,13683.0,94454,119563160.0,209858190.0,189876230,37872780.0,557170360,173256220.0,24072620.0,279162530,80678990.0,557170360
190401,신한알파리츠,16670.0,48980.0,98225,10776.0,174651,51773.0,105.0,93021,29752.0,174651,98153250.0,288191540.0,578229560,63438160.0,1028012510,304826960.0,618380.0,546764730,175802440.0,1028012510
190402,신한알파리츠,18841.0,0.0,43676,87.0,62604,38953.0,2479.0,19236,1936.0,62604,111118640.0,0.0,257613700,512430.0,369244770,229801590.0,14649840.0,113381830,11411510.0,369244770
190403,신한알파리츠,12604.0,0.0,33509,2335.0,48448,17704.0,4301.0,17277,9166.0,48448,74338950.0,0.0,197667480,13749970.0,285756400,104363340.0,25382240.0,101948970,54061850.0,285756400
190404,신한알파리츠,40536.0,0.0,89836,16467.0,146839,24629.0,4122.0,115734,2354.0,146839,235771320.0,0.0,523592410,96212790.0,855576520,143799980.0,23904060.0,674235590,13636890.0,855576520
190405,신한알파리츠,2471.0,0.0,21296,4590.0,28357,8175.0,700.0,17022,2460.0,28357,14408790.0,0.0,123987230,26773550.0,165169570,47635770.0,4078000.0,99186450,14269350.0,165169570
190408,신한알파리츠,2087.0,0.0,78670,2576.0,83333,3818.0,10606.0,59999,8910.0,83333,12260230.0,0.0,461611890,15077730.0,488949850,22338590.0,62188550.0,352353030,52069680.0,488949850
190409,신한알파리츠,304.0,0.0,58913,4193.0,63410,13385.0,33837.0,12356,3832.0,63410,1793230.0,0.0,347034480,24623010.0,373450720,78712390.0,199411170.0,72768160,22559000.0,373450720
190410,신한알파리츠,173.0,5926.0,158657,6.0,164762,55218.0,9848.0,51320,48376.0,164762,1029120.0,35243960.0,943040120,35490.0,979348690,328373090.0,58625480.0,304688990,287661130.0,979348690
190411,신한알파리츠,31726.0,122467.0,226082,32244.0,412519,195768.0,26724.0,111353,78674.0,412519,192748710.0,743313020.0,1370301550,194063340.0,2500426620,1188151200.0,161984830.0,672971240,477319350.0,2500426620
190412,신한알파리츠,86093.0,10279.0,52737,35471.0,184580,33337.0,3540.0,124466,23237.0,184580,517904910.0,61996530.0,318480640,213748360.0,1112130440,200723990.0,21385250.0,749737050,140284150.0,1112130440
190415,신한알파리츠,87140.0,0.0,26162,10206.0,123508,35153.0,11409.0,70715,6231.0,123508,522792540.0,0.0,156853700,61233150.0,740879390,210880080.0,68448220.0,424165120,37385970.0,740879390
190416,신한알파리츠,85294.0,0.0,57388,7391.0,150073,22512.0,1578.0,85139,40844.0,150073,514159250.0,0.0,348249520,44550560.0,906959330,136233820.0,9551010.0,513776000,247398500.0,906959330
190417,신한알파리츠,4132.0,500.0,62153,2616.0,69401,38007.0,1150.0,26436,3808.0,69401,25275400.0,3055000.0,380023830,15973260.0,424327490,232510050.0,7037000.0,161521610,23258830.0,424327490
190418,신한알파리츠,2019.0,4819.0,71475,4014.0,82327,42528.0,160.0,31703,7936.0,82327,12356210.0,29520470.0,436812680,24405120.0,503094480,259975790.0,976000.0,193767380,48375310.0,503094480
190419,신한알파리츠,16.0,14269.0,21475,7294.0,43054,13056.0,600.0,29398,0.0,43054,97510.0,87183590.0,131043500,44526940.0,262851540,79773470.0,3658000.0,179420070,0.0,262851540
190422,신한알파리츠,5836.0,15981.0,82472,10364.0,114653,12181.0,30043.0,69113,3316.0,114653,35810220.0,98551830.0,508095350,64034360.0,706491760,74754800.0,185923240.0,425366380,20447340.0,706491760
190423,신한알파리츠,1378.0,2497.0,73949,2219.0,80043,11368.0,0.0,68097,578.0,80043,8517480.0,15401550.0,456297070,13700830.0,493916930,70248340.0,0.0,420111390,3557200.0,493916930
190424,신한알파리츠,66159.0,34396.0,29453,3904.0,133912,11154.0,1650.0,116294,4814.0,133912,403722820.0,210253690.0,179964780,24007740.0,817949030,68151830.0,10023580.0,710372090,29401530.0,817949030
190425,신한알파리츠,31208.0,22960.0,78796,11903.0,144867,28984.0,3698.0,111000,1185.0,144867,189715260.0,140148100.0,478496300,72510680.0,880870340,176108330.0,22394940.0,675195260,7171810.0,880870340
190426,신한알파리츠,8377.0,20156.0,15837,2490.0,46860,10942.0,0.0,35738,180.0,46860,51187990.0,123392780.0,96742470,15215480.0,286538720,66912030.0,0.0,218535380,1091310.0,286538720
190429,신한알파리츠,48399.0,25629.0,28636,1159.0,103823,24897.0,0.0,78843,83.0,103823,296231130.0,156861370.0,175558490,7097030.0,635748020,152600060.0,0.0,482638530,509430.0,635748020
190430,신한알파리츠,1364.0,27369.0,12714,2600.0,44047,16601.0,686.0,26310,450.0,44047,8383960.0,167927940.0,77972690,15957150.0,270241740,101904450.0,4205160.0,161352030,2780100.0,270241740
190502,신한알파리츠,5157.0,40382.0,25443,5714.0,76696,12960.0,2100.0,59464,2172.0,76696,31860110.0,248451320.0,156585110,35097350.0,471993890,79917750.0,12878000.0,365776110,13422030.0,471993890
190503,신한알파리츠,2.0,23196.0,17055,4432.0,44685,19935.0,875.0,23572,303.0,44685,12380.0,143495760.0,105436180,27272630.0,276216950,123338140.0,5416250.0,145588990,1873570.0,276216950
190507,신한알파리츠,1710.0,17877.0,41463,3898.0,64948,25590.0,1.0,35642,3715.0,64948,10577800.0,110663630.0,256258540,24086930.0,401586900,158254730.0,6180.0,220349210,22976780.0,401586900
190508,신한알파리츠,8806.0,18000.0,139380,12734.0,178920,96625.0,3509.0,60292,18494.0,178920,55139390.0,112880000.0,871201200,79496990.0,1118717580,604130270.0,22035700.0,377157610,115394000.0,1118717580
190509,신한알파리츠,245.0,7828.0,155670,12283.0,176026,5846.0,101.0,161594,8485.0,176026,1551710.0,49283120.0,981841420,77632050.0,1110308300,36933920.0,636300.0,1019057970,53680110.0,1110308300
190510,신한알파리츠,180.0,6676.0,41737,12339.0,60932,4722.0,8193.0,47635,382.0,60932,1133820.0,42174840.0,262811770,77558710.0,383679140,29632100.0,51815560.0,299824880,2406600.0,383679140
190513,신한알파리츠,5.0,24.0,43869,7960.0,51858,5526.0,48.0,46151,133.0,51858,31540.0,151440.0,276524590,50214700.0,326922270,34796980.0,300480.0,290988450,836360.0,326922270
190514,신한알파리츠,5023.0,0.0,51883,13519.0,70425,8461.0,98.0,61521,345.0,70425,31544870.0,0.0,326649820,85104930.0,443299620,53333230.0,613540.0,387179750,2173100.0,443299620
190515,신한알파리츠,3027.0,10173.0,24942,4486.0,42628,12676.0,470.0,28371,1111.0,42628,19070910.0,64494320.0,157560040,28347970.0,269473240,80235090.0,2976870.0,179259340,7001940.0,269473240
190516,신한알파리츠,10.0,12327.0,42410,2491.0,57238,6484.0,0.0,47334,3420.0,57238,63400.0,78407220.0,269407690,15811870.0,363690180,41173570.0,0.0,300796640,21719970.0,363690180
190517,신한알파리츠,9845.0,11250.0,99415,341.0,120851,20644.0,1289.0,78931,19987.0,120851,63218020.0,72202500.0,637165810,2185220.0,774771550,132177660.0,8296160.0,506150510,128147220.0,774771550
190520,신한알파리츠,9640.0,5250.0,96623,11582.0,123095,3818.0,5796.0,102013,11468.0,123095,62133450.0,33965000.0,623680650,74577110.0,794356210,24615950.0,37287430.0,658065880,74386950.0,794356210
190521,신한알파리츠,2593.0,32100.0,82005,6652.0,123350,27363.0,7354.0,76557,12076.0,123350,16855630.0,208929000.0,533135130,43169640.0,802089400,177862990.0,47803460.0,497871650,78551300.0,802089400
190522,신한알파리츠,89.0,5237.0,60513,13921.0,79760,16252.0,8362.0,48795,6351.0,79760,578420.0,34152930.0,392921690,90238960.0,517892000,105377550.0,54409620.0,316933550,41171280.0,517892000
190523,신한알파리츠,5125.0,47782.0,24729,7870.0,85506,8222.0,19941.0,48256,9087.0,85506,33222030.0,310173220.0,160533550,51174820.0,555103620,53360410.0,129502050.0,313221370,59019790.0,555103620
190524,신한알파리츠,2365.0,15760.0,112739,2790.0,133654,17312.0,3847.0,88302,24193.0,133654,15374180.0,102401870.0,730471470,18091320.0,866338840,112154090.0,24953150.0,572338700,156892900.0,866338840
190527,신한알파리츠,12777.0,33158.0,54452,5360.0,105747,35049.0,7997.0,50662,12039.0,105747,82815040.0,214998370.0,352475790,34714220.0,685003420,227071760.0,51821130.0,328096520,78014010.0,685003420
190528,신한알파리츠,50870.0,40086.0,67797,13167.0,171920,35173.0,5825.0,125255,5667.0,171920,322442180.0,254350930.0,432212920,84090700.0,1093096730,224020470.0,37191280.0,795946740,35938240.0,1093096730
190529,신한알파리츠,77.0,23306.0,44870,1090.0,69343,20964.0,1692.0,37717,8970.0,69343,488350.0,147993100.0,284819260,6921020.0,440221730,133072910.0,10738460.0,239446290,56964070.0,440221730
190530,신한알파리츠,70.0,21036.0,52078,4859.0,78043,13297.0,2504.0,57182,5060.0,78043,447300.0,134651120.0,332929960,31021470.0,499049850,84974610.0,16015020.0,365705510,32354710.0,499049850
190531,신한알파리츠,16893.0,18964.0,76203,5496.0,117556,36035.0,1641.0,68513,11367.0,117556,107520670.0,120990320.0,484755050,35003660.0,748269700,229638060.0,10437000.0,435745680,72448960.0,748269700
190603,신한알파리츠,102016.0,11000.0,33896,5058.0,151970,113361.0,1652.0,33732,3225.0,151970,652855230.0,70500000.0,217045990,32449150.0,972850370,725565120.0,10577300.0,216037940,20670010.0,972850370
190604,신한알파리츠,3173.0,5113.0,36279,7262.0,51827,3529.0,6948.0,34557,6793.0,51827,20295380.0,32723200.0,231944770,46436150.0,331399500,22558330.0,44546920.0,220867940,43426310.0,331399500
190605,신한알파리츠,9896.0,10124.0,41671,5116.0,66807,21058.0,819.0,42612,2318.0,66807,63244950.0,64798340.0,266641740,32713940.0,427398970,134596750.0,5232330.0,272737310,14832580.0,427398970
190607,신한알파리츠,1805.0,4763.0,25814,5269.0,37651,1272.0,636.0,33877,1866.0,37651,11534250.0,30483200.0,165072830,33663140.0,240753420,8151290.0,4060350.0,216578210,11963570.0,240753420
190610,신한알파리츠,70.0,12113.0,45199,862.0,58244,24304.0,400.0,27642,5898.0,58244,447790.0,77565460.0,289211270,5520560.0,372745080,155577880.0,2550500.0,176900350,37716350.0,372745080
190611,신한알파리츠,789.0,27161.0,81369,3050.0,112369,20922.0,2026.0,70563,18858.0,112369,5040570.0,174629580.0,522656540,19477770.0,721804460,134601090.0,13019620.0,452732490,121451260.0,721804460
190612,신한알파리츠,15231.0,10726.0,29927,4431.0,60315,11083.0,1547.0,40412,7273.0,60315,98108330.0,69397220.0,193176940,28621360.0,389303850,71513860.0,9961740.0,260971510,46856740.0,389303850
190613,신한알파리츠,12196.0,9208.0,25822,5175.0,52401,7123.0,194.0,38543,6541.0,52401,79229990.0,59912520.0,168133410,33633770.0,340909690,46262250.0,1254680.0,250836610,42556150.0,340909690
190614,신한알파리츠,10852.0,16664.0,13712,10771.0,51999,1539.0,1242.0,45014,4204.0,51999,70537320.0,108215780.0,88832120,69828720.0,337413940,9970100.0,8042400.0,292149090,27252350.0,337413940
190617,신한알파리츠,249.0,8644.0,52154,844.0,61891,12570.0,1518.0,28687,19116.0,61891,1608870.0,56018580.0,335549490,5412320.0,398589260,81403280.0,9783970.0,184495030,122906980.0,398589260
190618,신한알파리츠,11673.0,1000.0,107079,19015.0,138767,23426.0,10055.0,90470,14816.0,138767,79647580.0,6605000.0,712451420,125555070.0,924259070,155830130.0,69611710.0,600258530,98558700.0,924259070
190619,신한알파리츠,9994.0,5500.0,39683,4048.0,59225,17068.0,0.0,40850,1307.0,59225,66692240.0,36675000.0,264300400,27063080.0,394730720,113736310.0,0.0,272281460,8712950.0,394730720
190620,신한알파리츠,5239.0,1533.0,116751,6188.0,129711,23262.0,1200.0,98899,6350.0,129711,35497000.0,10408520.0,790684280,41884910.0,878474710,157646090.0,8143000.0,669788700,42896920.0,878474710
190621,신한알파리츠,11510.0,4.0,53489,13082.0,78085,17743.0,2732.0,56676,934.0,78085,78226240.0,27200.0,362709230,88857530.0,529820200,120480270.0,18548640.0,384464110,6327180.0,529820200
190624,신한알파리츠,10996.0,2000.0,53513,9132.0,75641,13673.0,527.0,55864,5577.0,75641,74095770.0,13420000.0,360944140,61700720.0,510160630,92240970.0,3548760.0,376703710,37667190.0,510160630
190625,신한알파리츠,5761.0,38.0,80728,12801.0,99328,5698.0,800.0,84315,8515.0,99328,39367190.0,258770.0,550285790,87082160.0,676993910,38767370.0,5432000.0,574781930,58012610.0,676993910
190626,신한알파리츠,38795.0,0.0,59463,5776.0,104034,23023.0,2106.0,72784,6121.0,104034,260730650.0,0.0,399239010,39100770.0,699070430,154911490.0,14182180.0,488960580,41016180.0,699070430
190627,신한알파리츠,45.0,4.0,37563,8219.0,45831,20022.0,0.0,24917,892.0,45831,303160.0,27000.0,252847760,55337760.0,308515680,134788110.0,0.0,167729000,5998570.0,308515680
190628,신한알파리츠,2986.0,0.0,57881,4089.0,64956,20520.0,1313.0,36376,6747.0,64956,20088030.0,0.0,388501920,27557740.0,436147690,138038940.0,8811530.0,244096480,45200740.0,436147690
190701,신한알파리츠,810.0,43.0,78956,4661.0,84470,1658.0,722.0,75932,6158.0,84470,5548000.0,293380.0,538628010,31749490.0,576218880,11377390.0,4925190.0,517972210,41944090.0,576218880
190702,신한알파리츠,60209.0,11645.0,150585,6095.0,228534,33601.0,3140.0,161304,30489.0,228534,420755370.0,80694540.0,1050823700,42247840.0,1594521450,235446110.0,21973080.0,1124538670,212563590.0,1594521450
190703,신한알파리츠,48456.0,1998.0,127220,2199.0,179873,10329.0,4000.0,131992,33552.0,179873,345170360.0,14237630.0,908237440,15687650.0,1283333080,73747780.0,28480000.0,941565340,239539960.0,1283333080
190704,신한알파리츠,11739.0,1200.0,61321,10209.0,84469,892.0,1613.0,75925,6039.0,84469,83576000.0,8572000.0,437346390,72790800.0,602285190,6363100.0,11468480.0,541478720,42974890.0,602285190
